text,rating,business_id,rating_strength,score
Apparently Prides Osteria had a rough summer as evidenced by the almost empty dining room at 6:30 on a Friday night. However new blood in the kitchen seems...,4,buF9druCkbuXLX526sGELQ,0.8092179137326125,1
"The more reviews I write, the more picky I feel like I'm getting....however dinner at Prides was absolutely unforgettable. We arrived around 6:10 for a 6:30...",5,buF9druCkbuXLX526sGELQ,0.8092179137326125,1
"It was a tough call between a one and two star. 
After reading about this restaurant in North Shore magazine, my dad and I ventured out to give it a...",2,buF9druCkbuXLX526sGELQ,0.8092179137326125,1
"I love Target, but have felt kind of ""so-so"" about this one after a few visits when I have been out in the 'burbs.  On the plus side, there is a lot of...",3,RA4V8pr014UyUbDvI-LW2A,0.7073621712225342,0
I went to this Target today to buy a few things and to browse. I feel as if this store has gone downhill over the last few months. The first thing that...,2,RA4V8pr014UyUbDvI-LW2A,0.7073621712225342,0
"Used to be my favorite go to store, has really gone done hill,  clothes  scattered all over floor and shopping carts full of items to be put back on racks...",1,RA4V8pr014UyUbDvI-LW2A,0.7073621712225342,0
"John & Max2 & helped me move today from a studio apartment on the second floor to a one bedroom (same apt. complex) also on the second floor. 

These two...",5,_sS2LBIGNT5NQb6PD1Vtjw,0.9997992200394193,1
We had a great experience with Willamette Valley Moving. I started off by shopping around for quotes and I noticed several companies quoted me with 1 truck...,5,_sS2LBIGNT5NQb6PD1Vtjw,0.9997992200394193,1
"Ah yes, moving time once again!  I inquired a good 30 days prior to my apartment move out date, and was helped by Jacob.  I didn't feel any pressure by him,...",4,_sS2LBIGNT5NQb6PD1Vtjw,0.9997992200394193,1
"Wonderful staff.  Everyone genuinely happy. 
All the facilities you would expect. 
Would stay here again.",4,0AzLzHfOJgL7ROwhdww2ew,0.9706228526154435,1
My boyfriend and I stayed here during a conference my work had which we helped out with a couple weeks ago. We both really enjoyed the vibe and atmosphere...,3,0AzLzHfOJgL7ROwhdww2ew,0.9706228526154435,1
We recently stayed at the Renaissance Orlando at SeaWorld and had a great hotel experience. The hotel was conveniently located right next to SeaWorld...,5,0AzLzHfOJgL7ROwhdww2ew,0.9706228526154435,1
"We had a wonderful experience, great service, and tasty food accommodations. Everyone is very friendly and went out of their way to make sure we had a...",5,8zehGz9jnxPqXtOc7KaJxA,0.8092179137326125,1
Came in for the post-Covid reboot. The fun thing about Brasserie Ten Ten in the past was that you are getting what feels like a high end experience for...,2,8zehGz9jnxPqXtOc7KaJxA,0.8092179137326125,1
"Went last week once they reopened... and it's not quite the same old Brasserie Ten Ten. They still have great food, but the prices have become ridiculous:...",4,8zehGz9jnxPqXtOc7KaJxA,0.8092179137326125,1
"Always a fun time at the Burren, especially on event nights in the back. Expect it to be super crowded and for it to take a while to get drinks or go to the...",4,xGXzsc-hzam-VArK6eTvtw,0.5674867506023611,0
Was looking forward to brunch with Irish Breakfast and Eggs Benedict for our party.  Hostess seated us at 2:09 pm.  Fourteen guests in the restaurant....,1,xGXzsc-hzam-VArK6eTvtw,0.5674867506023611,0
"This probably has no bearing on this review but in the mid 90's I saw a film called, ""Next Stop, Wonderland"" which is one of my favorite movies. One of my...",5,xGXzsc-hzam-VArK6eTvtw,0.5674867506023611,0
"We ended up here because the wait was too long at the Brown Sugar Cafe and we had a show to get to. 
It was Saturday night, we got in and seated right away...",3,EXOsmAB1s71WePlQk0WZrA,0.7135569329822529,0
I would put zero stars if possible. I went there years ago to watch the RSox game. The place was busy but the bartender was not doing anything since...,1,EXOsmAB1s71WePlQk0WZrA,0.7135569329822529,0
"Ok, lots of bad reviews on the food.....so I didn't try it.

Actually, we had nachos and they were terrible.  Pushed a couple of the group into rapid...",3,EXOsmAB1s71WePlQk0WZrA,0.7135569329822529,0
"This is a great Sports Authority and our family always ships here. Good to know they are still the best on the area. 

We got everything we came for and...",5,mD-A9KOWADXvfrZfwDs-jw,0.9706228526154435,1
"This used to be the go-to-place for my sporting goods, now I use Amazon for everything. However if I'm in a pinch and need some gear quick I can get what I...",3,mD-A9KOWADXvfrZfwDs-jw,0.9706228526154435,1
I came in to buy tennis balls and a foot brace. I was able to get both. I also took my leisure time going through the store. The gym clothes was a little...,4,mD-A9KOWADXvfrZfwDs-jw,0.9706228526154435,1
"The clam chowder here was delicious. They added a bit too many potatoes for my liking, thus making the chowder thicker with the starch, but the flavor was...",4,EEHhKSxUvJkoPSzeGKkpVg,0.9983262984501375,1
"Boston Chowda is located in the Food Court at the Prudential Center...

Had a delicious cup of their Boston Clam Chowder. Tasty, clams were tender, overall...",4,EEHhKSxUvJkoPSzeGKkpVg,0.9983262984501375,1
"Well I must say, I would never have expected to get a tasty dish in a food court at mall. But given my eternal trust in Yelp, I went with with Boston Chowda...",3,EEHhKSxUvJkoPSzeGKkpVg,0.9983262984501375,1
